Date,SP500_Return
1986-06-01,0.041711
1986-07-01,0.015291
1986-08-01,-0.013614
1986-09-01,0.007609
1986-01-01,0.018896
1986-11-01,0.015983
1986-12-01,0.008058
1987-01-01,-0.006098
1987-02-01,0.006042
1987-03-01,-0.046511
1987-04-01,-0.032576
1987-05-01,0.021275
1987-06-01,0.003650
1987-07-01,-0.013454
1987-08-01,-0.035134
1987-09-01,0.001448
1987-01-01,0.051385
1987-11-01,-0.001128
1987-12-01,0.028730
1988-01-01,0.038364
1988-02-01,-0.003915
1988-03-01,-0.016205
1988-04-01,-0.016856
1988-05-01,0.018738
1988-06-01,-0.001706
1988-07-01,-0.005396
1988-08-01,0.026057
1988-09-01,0.019364
1988-01-01,-0.003156
1988-11-01,-0.002304
1988-12-01,0.008896
1989-01-01,0.002377
1989-02-01,-0.004605
1989-03-01,0.019491
1989-04-01,0.028717
1989-05-01,0.046527
1989-06-01,0.024645
1989-07-01,0.000565
1989-08-01,0.001338
1989-09-01,0.019115
1989-01-01,0.016292
1989-11-01,0.008622
1989-12-01,-0.018513
1990-01-01,-0.010563
1990-02-01,-0.000933
1990-03-01,-0.006048
1990-04-01,0.009308
1990-05-01,0.026035
1990-06-01,0.007736
1990-07-01,-0.011462
1990-08-01,-0.001914
1990-09-01,0.018667
1990-01-01,0.029433
1990-11-01,0.028094
1990-12-01,0.006053
1991-01-01,0.023243
1991-02-01,-0.011135
1991-03-01,0.011532
1991-04-01,0.004657
1991-05-01,-0.007448
1991-06-01,0.007575
1991-07-01,0.032276
1991-08-01,0.023922
1991-09-01,0.014741
1991-01-01,0.013981
1991-11-01,0.029638
1991-12-01,0.010184
1992-01-01,-0.015934
1992-02-01,-0.007821
1992-03-01,0.010476
1992-04-01,0.012546
1992-05-01,0.015329
1992-06-01,0.036232
1992-07-01,0.023866
1992-08-01,0.017938
1992-09-01,-0.007003
1992-01-01,-0.014603
1992-11-01,0.012934
1992-12-01,0.017989
1993-01-01,0.030571
1993-02-01,0.026124
1993-03-01,0.005730
1993-04-01,-0.000238
1993-05-01,0.011012
1993-06-01,0.016253
1993-07-01,0.014681
1993-08-01,0.029307
1993-09-01,0.006774
1993-01-01,-0.025023
1993-11-01,0.000998
1993-12-01,0.006317
1994-01-01,-0.011643
1994-02-01,-0.032265
1994-03-01,-0.029611
1994-04-01,-0.009059
1994-05-01,0.011667
1994-06-01,-0.008168
1994-07-01,0.010320
1994-08-01,-0.009352
1994-09-01,-0.013127
1994-01-01,-0.008604
1994-11-01,0.016964
1994-12-01,0.008577
1995-01-01,0.028153
1995-02-01,0.025323
1995-03-01,0.015964
1995-04-01,0.037073
1995-05-01,0.039582
1995-06-01,-0.002962
1995-07-01,-0.010094
1995-08-01,0.026850
1995-09-01,0.017082
1995-01-01,0.013266
1995-11-01,0.021570
1995-12-01,0.009306
1996-01-01,-0.007331
1996-02-01,-0.029063
1996-03-01,-0.012276
1996-04-01,-0.011177
1996-05-01,-0.006562
1996-06-01,0.008629
1996-07-01,0.022401
1996-08-01,-0.008127
1996-09-01,0.027549
1996-01-01,0.029841
1996-11-01,-0.002194
1996-12-01,-0.015105
1997-01-01,0.017198
1997-02-01,-0.014182
1997-03-01,-0.008766
1997-04-01,0.018752
1997-05-01,0.021649
1997-06-01,0.025354
1997-07-01,-0.000705
1997-08-01,0.011901
1997-09-01,0.018586
1997-01-01,0.016276
1997-11-01,0.010167
1997-12-01,0.025407
1998-01-01,0.002335
1998-02-01,-0.001421
1998-03-01,0.005467
1998-04-01,0.003942
1998-05-01,0.016154
1998-06-01,0.007641
1998-07-01,0.013773
1998-08-01,0.046185
1998-09-01,0.026343
1998-01-01,-0.019827
1998-11-01,0.018304
1998-12-01,-0.001660
1999-01-01,-0.017924
1999-02-01,-0.013600
1999-03-01,0.008229
1999-04-01,-0.023103
1999-05-01,-0.022361
1999-06-01,0.013201
1999-07-01,-0.006396
1999-08-01,0.006447
1999-09-01,-0.009172
1999-01-01,0.011052
1999-11-01,-0.013393
1999-12-01,-0.022293
2000-01-01,0.015755
2000-02-01,0.024606
2000-03-01,0.025369
2000-04-01,-0.027926
2000-05-01,0.030618
2000-06-01,0.008805
2000-07-01,0.021580
2000-08-01,0.007117
2000-09-01,0.009362
2000-01-01,0.006294
2000-11-01,0.041828
2000-12-01,0.010566
2001-01-01,0.008962
2001-02-01,0.020726
2001-03-01,-0.015316
2001-04-01,-0.014888
2001-05-01,0.012969
2001-06-01,0.007488
2001-07-01,0.025472
2001-08-01,0.023110
2001-09-01,0.016681
2001-01-01,-0.002538
2001-11-01,-0.030331
2001-12-01,0.008138
2002-01-01,0.014390
2002-02-01,-0.024425
2002-03-01,0.009812
2002-04-01,0.008216
2002-05-01,0.022312
2002-06-01,0.026319
2002-07-01,0.035374
2002-08-01,0.035626
2002-09-01,-0.002513
2002-01-01,-0.005688
2002-11-01,0.005008
2002-12-01,0.001727
2003-01-01,0.015695
2003-02-01,0.010673
2003-03-01,-0.009110
2003-04-01,0.035830
2003-05-01,0.023221
2003-06-01,-0.050412
2003-07-01,-0.034312
2003-08-01,0.018240
2003-09-01,0.001945
2003-01-01,0.002769
2003-11-01,0.006005
2003-12-01,0.013300
2004-01-01,0.009160
2004-02-01,0.024000
2004-03-01,-0.038633
2004-04-01,-0.025631
2004-05-01,0.003143
2004-06-01,0.022313
2004-07-01,0.021502
2004-08-01,0.015755
2004-09-01,0.005883
2004-01-01,-0.003876
2004-11-01,0.000256
2004-12-01,0.004334
2005-01-01,0.007572
2005-02-01,-0.022884
2005-03-01,0.016625
2005-04-01,0.019860
2005-05-01,0.014895
2005-06-01,-0.011259
2005-07-01,-0.002978
2005-08-01,0.008410
2005-09-01,-0.017306
2005-01-01,-0.002662
